THE GREENERY,"208 Parker Avenue, Suite E",Durango,CO,81303,2016-11-14 01:00:47,2016-11-14 01:00:47
GREEN WORLD EXPRESS,5320 US Highway 285,Antonito,CO,81120,2016-11-14 01:00:48,2016-11-14 01:00:48
GREEN DRAGON COLORADO,5840 West 25th Avenue,Edgewater,CO,80214,2016-11-14 01:00:49,2016-11-14 01:00:49
GREEN DRAGON COLORADO,2922 South Glen Avenue,Glenwood Springs,CO,81601,2016-11-14 01:00:50,2016-11-14 01:00:50
GREEN DRAGON COLORADO,19151 East Quincy Avenue,Aurora,CO,80013,2016-11-14 01:00:51,2016-11-14 01:00:51
GROWHOUSE FRASER,"511 Zerex Street, Suite 203",Fraser,CO,80482,2016-11-14 01:00:52,2016-11-14 01:00:52
ROCKY MOUNTAIN CANNABIS,901 West New York Avenue,Gunnison,CO,81230,2016-11-14 01:00:53,2016-11-14 01:00:53
PURE MEDICAL DISPENSARY,5702 East Colfax Avenue,Denver,CO,80220,2016-11-14 01:00:54,2016-11-14 01:00:54
THE HIGHWAY,1221 County Road 308,Dumont,CO,80436,2016-11-14 01:00:55,2016-11-14 01:00:55
HCH2 LLC,40 South Main Street,Alma,CO,80420,2016-11-14 01:00:56,2016-11-14 01:00:56
STICKY BUDS BROADWAY,2262 South Broadway,Denver,CO,80210,2016-11-14 01:00:57,2016-11-14 01:00:57
STICKY BUDS COLFAX,4615 East Colfax Avenue,Denver,CO,80220,2016-11-14 01:00:54,2016-11-14 01:00:54
GREEN DREAM CANNABIS,"6700 Lookout Road, Suite #5",Boulder,CO,80301,2016-11-14 01:00:55,2016-11-14 01:00:55
NEW BROADSTERDAM,2568 South Broadway,Denver,CO,80210,2016-11-14 01:00:56,2016-11-14 01:00:56
HERBAL HEALTH LLC,419 West 13th Avenue,Denver,CO,80204,2016-11-14 01:00:57,2016-11-14 01:00:57
SWEET LEAF,4400 East Evans Avenue,Denver,CO,80222,2016-11-14 01:00:58,2016-11-14 01:00:58
HERBAL WELLNESS,"400 West South Boulder Road, Suite 2700",Lafayette,CO,80026,2016-11-14 01:00:59,2016-11-14 01:00:59
HERITAGE ORGANICS,"78 North Precision Drive, Suite B",Pueblo West,CO,81007,2016-11-14 01:00:47,2016-11-14 01:00:47
COLORADO HARVEST COMPANY,1178 South Kalamath Street,Denver,CO,80223,2016-11-14 01:00:48,2016-11-14 01:00:48
COLORADO HARVEST COMPANY,1568 South Broadway,Denver,CO,80210,2016-11-14 01:00:49,2016-11-14 01:00:49
COLORADO HARVEST SUPPLY LLC,14655 E Arapahoe Road,Aurora,CO,80016,2016-11-14 01:00:50,2016-11-14 01:00:50
COLORADO HARVEST COMPANY,"11002 E Yale Avenue, Unit A",Aurora,CO,80014,2016-11-14 01:00:51,2016-11-14 01:00:51
HIGH STREET GROWERS LLC,330 Federal Boulevard,Denver,CO,80219,2016-11-14 01:00:52,2016-11-14 01:00:52
HIGHER FUNCTION LLC,21801 US Highway 6,Keystone,CO,80435,2016-11-14 01:00:53,2016-11-14 01:00:53
THE CLINIC HIGHLANDS,3460 West 32nd Avenue,Denver,CO,80211,2016-11-14 01:00:54,2016-11-14 01:00:54
BONFIRE CANNABIS COMPANY,8 County Road 821,Tabernash,CO,80478,2016-11-14 01:00:55,2016-11-14 01:00:55
A CUT ABOVE,1911 South Broadway,Denver,CO,80210,2016-11-14 01:00:56,2016-11-14 01:00:56
THE CLINIC ON COLORADO,2020 South Colorado Boulevard,Denver,CO,80222,2016-11-14 01:00:57,2016-11-14 01:00:57
HIGH Q,730 Main Street,Silt,CO,81652,2016-11-14 01:00:54,2016-11-14 01:00:54
IGADI,"72399 US Highway 40, Unit B",Tabernash,CO,80478,2016-11-14 01:00:55,2016-11-14 01:00:55
IGADI,171 Lawrence Street,Central City,CO,80427,2016-11-14 01:00:56,2016-11-14 01:00:56
SANTE ALTERNATIVE WELLNESS,742 1/2 Main Avenue,Durango,CO,81301,2016-11-14 01:00:57,2016-11-14 01:00:57
PAGOSA ORGANIC THERAPEUTICS,"298 Bastille Drive, Suite B1",Pagosa Springs,CO,81147,2016-11-14 01:00:58,2016-11-14 01:00:58
THE GREEN HOUSE,270 East Pagosa Street,Pagosa Springs,CO,81147,2016-11-14 01:00:59,2016-11-14 01:00:59
NATIVE ROOTS VAIL,"041290 Highway 6, Unit #B5",Avon,CO,81620,2016-11-14 01:00:47,2016-11-14 01:00:47
EARLS,115 Harrison Avenue,Leadville,CO,80461,2016-11-14 01:00:48,2016-11-14 01:00:48
DANK LLC,"3835 Elm Street, Unit C",Denver,CO,80207,2016-11-14 01:00:49,2016-11-14 01:00:49
SILVER STEM FINE CANNABIS,"3700 West Quincy Avenue, Suite 3702",Denver,CO,80236,2016-11-14 01:00:50,2016-11-14 01:00:50
STASH HOUSE,4707 Lipan Street,Denver,CO,80211,2016-11-14 01:00:51,2016-11-14 01:00:51
EUFLORA,6260 South Gun Club Road,Aurora,CO,80016,2016-11-14 01:00:52,2016-11-14 01:00:52
EUFLORA,"4343 S Buckley Road, Unit E",Aurora,CO,80015,2016-11-14 01:00:53,2016-11-14 01:00:53
EUFLORA,403 16th Street,Denver,CO,80202,2016-11-14 01:00:54,2016-11-14 01:00:54
HELPING HANDS HERBALS,"1021 Pearl Street, Suite C",Boulder,CO,80302,2016-11-14 01:00:55,2016-11-14 01:00:55
COLORADO CANNABIS CONNECTION,4550 South Kippling Street #4,Denver,CO,80127,2016-11-14 01:00:56,2016-11-14 01:00:56
STASH,"710 East Durant Ave, Unit E-1",Aspen,CO,81611,2016-11-14 01:00:57,2016-11-14 01:00:57
